,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
462,Trézéguet\Trezeguet,eg EGY,FW,Aston Villa,26-180,1994,11.7,212,301,70.4,3524,1045,98,125,78.4,82,113,72.6,21,39,53.8,1,2.0,-1.0,12,20,6,3,26,Matches
463,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,26-116,1994,22.1,631,852,74.1,12333,3563,265,335,79.1,256,312,82.1,97,151,64.2,5,3.8,+1.2,38,64,54,14,103,Matches
464,Kostas Tsimikas\Kostas-Tsimikas,gr GRE,DF,Liverpool,24-322,1996,0.1,6,8,75.0,118,0,4,4,100.0,1,2,50.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,Matches
465,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,23-136,1997,1.5,109,117,93.2,2161,495,39,41,95.1,55,57,96.5,15,17,88.2,0,0.0,0.0,0,6,0,0,7,Matches
466,Cengiz Ünder\Cengiz-Under,tr TUR,MFFW,Leicester City,23-259,1997,3.1,91,129,70.5,1556,499,50,61,82.0,30,38,78.9,10,19,52.6,2,1.8,+0.2,6,5,10,4,10,Matches
467,Yan Valery\Yan-Valery,fr FRA,DFMF,Southampton,22-036,1999,1.1,53,64,82.8,883,269,25,27,92.6,26,28,92.9,2,6,33.3,0,0.0,0.0,0,0,2,1,2,Matches
468,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,34-078,1987,22.7,198,305,64.9,2904,498,123,173,71.1,54,81,66.7,14,25,56.0,7,4.2,+2.8,21,10,7,0,17,Matches
469,Joël Veltman\Joel-Veltman,nl NED,DF,Brighton,29-074,1992,20.3,916,1192,76.8,18214,7415,333,384,86.7,454,564,80.5,124,220,56.4,1,1.0,0.0,17,84,32,13,103,Matches
470,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,28-239,1992,20.5,1053,1255,83.9,21751,7708,356,387,92.0,549,622,88.3,141,227,62.1,0,0.4,-0.4,4,79,6,0,51,Matches
471,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,21-355,1999,1.9,82,98,83.7,1310,324,44,48,91.7,31,40,77.5,7,9,77.8,0,0.0,0.0,0,2,1,1,2,Matches
472,Carlos Vinícius\Carlos-Vinicius,br BRA,FW,Tottenham,26-005,1995,2.9,24,40,60.0,341,57,9,18,50.0,8,11,72.7,2,5,40.0,0,0.1,-0.1,2,2,1,0,3,Matches
473,João Virgínia\Joao-Virginia,pt POR,GK,Everton,21-171,1999,0.5,9,17,52.9,315,224,1,1,100.0,3,3,100.0,5,13,38.5,0,0.0,0.0,0,0,0,0,0,Matches
474,Vitinha\Vitinha,pt POR,MF,Wolves,21-045,2000,2.6,153,168,91.1,2560,236,70,78,89.7,64,65,98.5,15,20,75.0,1,0.2,+0.8,5,11,0,0,3,Matches
475,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,21-013,2000,0.7,20,22,90.9,371,115,7,7,100.0,13,13,100.0,0,1,0.0,0,0.2,-0.2,2,0,2,1,3,Matches
476,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,28-333,1992,9.8,131,171,76.6,1604,208,92,111,82.9,23,31,74.2,7,11,63.6,1,1.1,-0.1,10,4,5,2,6,Matches
477,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Southampton,32-014,1989,13.7,235,326,72.1,3257,645,147,172,85.5,69,100,69.0,8,27,29.6,2,0.8,+1.2,11,14,10,3,20,Matches
