,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
127,Matt Doherty\Matt-Doherty,ie IRL,DF,Tottenham,29-073,1992,12.7,595,743,80.1,9657,3617,328,369,88.9,214,268,79.9,43,80,53.8,2,0.7,+1.3,10,17,13,6,35,Matches
128,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Arsenal,23-101,1997,15.2,928,1068,86.9,19794,5308,252,275,91.6,504,541,93.2,165,238,69.3,0,0.0,0.0,1,55,1,0,34,Matches
129,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Everton,28-088,1993,23.7,993,1158,85.8,17007,3596,468,531,88.1,404,448,90.2,94,123,76.4,3,2.2,+0.8,17,63,17,1,53,Matches
130,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,32-074,1989,4.0,102,140,72.9,3576,2251,15,15,100.0,43,43,100.0,44,82,53.7,0,0.0,0.0,0,2,0,0,0,Matches
131,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,29-185,1991,4.9,148,198,74.7,2286,1187,89,96,92.7,48,65,73.8,8,30,26.7,0,0.4,-0.4,3,11,1,1,9,Matches
132,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,29-129,1991,26.0,1510,1683,89.7,34795,9433,381,405,94.1,788,826,95.4,329,433,76.0,0,0.6,-0.6,7,92,0,0,60,Matches
133,Jimmy Dunne\Jimmy-Dunne,ie IRL,DF,Burnley,23-162,1997,2.0,60,89,67.4,1301,256,18,24,75.0,29,40,72.5,12,24,50.0,0,0.1,-0.1,2,0,1,0,1,Matches
134,Ederson\Ederson,br BRA,GK,Manchester City,27-225,1993,29.0,738,882,83.7,19915,11264,96,100,96.0,421,424,99.3,214,350,61.1,1,0.4,+0.6,1,3,2,0,0,Matches
135,Kyle Edwards\Kyle-Edwards,eng ENG,MFFW,West Brom,23-041,1998,1.3,30,35,85.7,420,91,18,18,100.0,12,13,92.3,0,2,0.0,0,0.0,0.0,0,3,0,0,3,Matches
136,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,28-161,1992,21.1,667,796,83.8,15610,5069,168,186,90.3,348,387,89.9,147,211,69.7,1,0.2,+0.8,2,61,5,0,49,Matches
137,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,33-202,1987,6.8,311,416,74.8,5691,2269,134,149,89.9,138,183,75.4,36,75,48.0,0,0.5,-0.5,9,21,16,6,26,Matches
138,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,28-262,1992,12.0,639,689,92.7,12429,2573,247,261,94.6,298,312,95.5,89,105,84.8,0,0.2,-0.2,4,46,5,0,36,Matches
139,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,33-086,1988,22.5,1221,1405,86.9,26667,7854,306,334,91.6,683,731,93.4,223,324,68.8,1,0.1,+0.9,6,59,0,0,40,Matches
140,Eberechi Eze\Eberechi-Eze,eng ENG,MF,Crystal Palace,22-274,1998,21.8,683,871,78.4,10672,3202,393,440,89.3,212,263,80.6,55,125,44.0,3,1.7,+1.3,28,52,23,3,85,Matches
141,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,35-346,1985,27.0,464,761,61.0,18864,13738,41,42,97.6,144,147,98.0,278,571,48.7,0,0.0,0.0,0,17,0,0,0,Matches
142,Fabinho\Fabinho,br BRA,DFMF,Liverpool,27-158,1993,19.5,1381,1515,91.2,29248,7549,373,403,92.6,776,813,95.4,220,280,78.6,0,0.4,-0.4,3,67,3,1,65,Matches
143,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,26-203,1994,27.4,1353,1821,74.3,26296,7687,635,752,84.4,470,585,80.3,224,382,58.6,10,9.7,+0.3,81,151,79,7,191,Matches
144,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,32-037,1989,15.3,446,568,78.5,9971,2936,133,153,86.9,211,246,85.8,100,159,62.9,0,0.2,-0.2,3,14,2,1,15,Matches
145,Fernandinho\Fernandinho,br BRA,MF,Manchester City,35-330,1985,9.1,614,704,87.2,11693,2833,263,289,91.0,265,293,90.4,82,112,73.2,0,0.3,-0.3,3,96,8,1,63,Matches
146,Sam Field\Sam-Field,eng ENG,MF,West Brom,22-326,1998,0.7,15,23,65.2,223,41,10,14,71.4,4,5,80.0,1,3,33.3,0,0.0,0.0,0,1,0,0,2,Matches
147,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,29-179,1991,23.8,757,949,79.8,11061,2575,451,530,85.1,235,295,79.7,42,60,70.0,5,3.8,+1.2,29,54,26,0,88,Matches
148,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,29-218,1991,19.6,650,848,76.7,10616,3436,340,377,90.2,220,274,80.3,65,153,42.5,2,2.0,0.0,24,86,18,1,73,Matches
149,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,20-306,2000,14.9,555,681,81.5,8425,1723,328,364,90.1,179,215,83.3,34,71,47.9,5,3.7,+1.3,29,32,17,1,48,Matches
150,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Leicester City,20-103,2000,17.7,999,1154,86.6,21032,5728,302,334,90.4,519,568,91.4,170,236,72.0,0,0.3,-0.3,5,72,1,0,57,Matches
151,Pablo Fornals\Pablo-Fornals,es ESP,FWMF,West Ham,25-036,1996,20.0,527,685,76.9,8697,2452,285,324,88.0,188,248,75.8,48,80,60.0,3,1.9,+1.1,18,43,21,3,66,Matches
152,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,33-013,1988,4.0,80,153,52.3,2933,2043,15,15,100.0,24,26,92.3,40,110,36.4,0,0.0,0.0,0,1,0,0,0,Matches
153,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,23-087,1998,0.9,65,75,86.7,1070,258,30,34,88.2,32,34,94.1,3,6,50.0,0,0.3,-0.3,2,4,1,1,1,Matches
154,Ryan Fraser\Ryan-Fraser,sco SCO,FWMF,Newcastle Utd,27-034,1994,10.3,243,369,65.9,4212,1323,120,139,86.3,84,118,71.2,31,88,35.2,2,2.1,-0.1,25,7,10,9,17,Matches
155,Fred\Fred,br BRA,MF,Manchester Utd,28-025,1993,20.4,1160,1323,87.7,23224,5622,433,474,91.4,515,562,91.6,196,243,80.7,0,1.9,-1.9,18,136,14,0,111,Matches
156,Ryan Fredericks\Ryan-Fredericks,eng ENG,DFFW,West Ham,28-171,1992,5.0,157,220,71.4,2355,831,91,108,84.3,55,80,68.8,7,21,33.3,1,1.2,-0.2,12,8,11,7,13,Matches
157,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,34-357,1986,7.8,478,589,81.2,9088,3503,204,229,89.1,218,256,85.2,55,93,59.1,0,0.0,0.0,1,42,2,1,33,Matches
158,Darnell Furlong\Darnell-Furlong,eng ENG,DF,West Brom,25-150,1995,23.6,535,896,59.7,9945,4307,248,313,79.2,203,336,60.4,74,208,35.6,2,1.9,+0.1,14,42,14,11,56,Matches
159,Conor Gallagher\Conor-Gallagher,eng ENG,MF,West Brom,21-052,2000,21.9,622,779,79.8,11160,2410,290,339,85.5,238,268,88.8,77,133,57.9,2,0.9,+1.1,13,65,14,2,44,Matches
160,Eric García\Eric-Garcia,es ESP,DF,Manchester City,20-080,2001,2.4,221,236,93.6,4541,1244,71,75,94.7,115,118,97.5,34,42,81.0,0,0.1,-0.1,2,20,0,0,12,Matches
161,Dwight Gayle\Dwight-Gayle,eng ENG,FWMF,Newcastle Utd,30-164,1990,3.3,52,67,77.6,746,120,34,37,91.9,16,22,72.7,1,5,20.0,0,0.1,-0.1,3,0,2,0,3,Matches
162,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,30-143,1990,23.5,412,536,76.9,10758,6511,119,120,99.2,162,169,95.9,128,242,52.9,0,0.0,0.0,0,3,0,0,0,Matches
163,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FW,Aston Villa,25-331,1995,10.1,248,362,68.5,3986,1148,143,178,80.3,67,94,71.3,26,58,44.8,0,1.7,-1.7,17,16,14,7,26,Matches
164,Kieran Gibbs\Kieran-Gibbs,eng ENG,DF,West Brom,31-185,1989,9.0,223,311,71.7,3929,1436,103,117,88.0,97,133,72.9,21,54,38.9,0,0.3,-0.3,3,15,3,3,16,Matches
165,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,FWMF,Wolves,21-062,2000,1.2,50,63,79.4,817,154,28,32,87.5,15,16,93.8,6,12,50.0,0,0.1,-0.1,3,4,0,0,5,Matches
166,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,19-292,2001,0.4,30,36,83.3,673,59,8,9,88.9,13,18,72.2,8,8,100.0,0,0.0,0.0,0,2,0,0,0,Matches
167,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,34-181,1986,7.9,150,199,75.4,1798,219,107,136,78.7,24,35,68.6,6,6,100.0,0,0.7,-0.7,7,6,1,0,6,Matches
168,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Everton,23-074,1998,20.7,755,893,84.5,14896,3846,256,293,87.4,380,416,91.3,100,147,68.0,1,0.0,+1.0,0,43,3,1,35,Matches
169,André Gomes\Andre-Gomes,pt POR,MF,Everton,27-243,1993,15.2,658,789,83.4,13020,3145,280,321,87.2,260,292,89.0,107,152,70.4,1,0.5,+0.5,12,73,11,2,69,Matches
170,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,23-311,1997,6.6,480,532,90.2,11390,3061,99,106,93.4,278,296,93.9,99,123,80.5,0,0.0,0.0,1,30,0,0,38,Matches
171,Anthony Gordon\Anthony-Gordon,eng ENG,FWMF,Everton,20-034,2001,1.0,22,26,84.6,365,94,12,13,92.3,8,8,100.0,2,4,50.0,0,0.0,0.0,1,1,2,0,3,Matches
172,Karlan Grant\Karlan-Grant,eng ENG,FWMF,West Brom,23-193,1997,12.1,160,219,73.1,2305,325,90,114,78.9,55,64,85.9,8,14,57.1,0,0.0,0.0,0,5,6,0,9,Matches
173,Demarai Gray\Demarai-Gray,eng ENG,FW,Leicester City,24-275,1996,0.2,7,11,63.6,116,11,4,4,100.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,0,Matches
174,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,25-201,1995,22.0,783,1002,78.1,13427,4654,399,473,84.4,272,320,85.0,87,144,60.4,10,8.1,+1.9,76,73,63,4,150,Matches
175,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,19-180,2001,14.4,427,508,84.1,6953,1080,243,267,91.0,145,171,84.8,32,51,62.7,1,1.0,0.0,11,19,11,2,27,Matches
176,Pascal Groß\Pascal-Gross,de GER,MF,Brighton,29-288,1991,18.9,874,1159,75.4,17973,5087,345,413,83.5,357,427,83.6,162,290,55.9,6,4.6,+1.4,52,67,38,14,97,Matches
177,Kamil Grosicki\Kamil-Grosicki,pl POL,FWMF,West Brom,32-295,1988,1.6,32,49,65.3,532,171,13,16,81.3,15,20,75.0,2,10,20.0,1,0.1,+0.9,3,4,1,0,5,Matches
178,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,34-079,1987,29.0,460,834,55.2,16959,11897,64,65,98.5,158,163,96.9,237,605,39.2,0,0.0,0.0,0,7,0,0,0,Matches
179,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,30-157,1990,19.3,1265,1399,90.4,21205,4036,644,683,94.3,494,534,92.5,105,142,73.9,1,3.8,-2.8,34,115,27,0,107,Matches
180,Antwoine Hackford\Antwoine-Hackford,eng ENG,DFFW,Sheffield Utd,17-010,2004,0.1,1,1,100.0,4,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
181,Sébastien Haller\Sebastien-Haller,ci CIV,FW,West Ham,26-281,1994,10.4,171,252,67.9,2749,525,99,137,72.3,47,65,72.3,17,28,60.7,0,1.2,-1.2,9,13,5,1,19,Matches
182,Rekeem Harper\Rekeem-Harper,eng ENG,MF,West Brom,21-022,2000,0.4,13,16,81.3,242,33,5,6,83.3,7,7,100.0,1,3,33.3,0,0.0,0.0,0,2,0,0,1,Matches
183,Jack Harrison\Jack-Harrison,eng ENG,MF,Leeds United,24-130,1996,23.9,601,875,68.7,10153,3226,310,390,79.5,230,301,76.4,52,130,40.0,5,4.9,+0.1,43,26,48,14,80,Matches
184,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,25-257,1995,4.0,105,141,74.5,2308,616,22,29,75.9,63,74,85.1,18,34,52.9,0,0.0,0.0,0,8,0,0,6,Matches
185,Kai Havertz\Kai-Havertz,de GER,MFFW,Chelsea,21-292,1999,13.0,543,632,85.9,7981,1242,320,350,91.4,169,195,86.7,33,42,78.6,2,1.3,+0.7,13,34,16,2,37,Matches
186,Isaac Hayden\Isaac-Hayden,eng ENG,MFDF,Newcastle Utd,26-008,1995,21.6,629,790,79.6,12062,2695,248,291,85.2,294,338,87.0,83,124,66.9,0,0.4,-0.4,5,48,3,1,41,Matches
187,Michael Hector\Michael-Hector,jm JAM,DF,Fulham,28-254,1992,2.9,139,175,79.4,3485,1313,21,25,84.0,78,83,94.0,39,64,60.9,0,0.0,0.0,1,10,1,0,11,Matches
188,Ahmed Hegazi\Ahmed-Hegazi,eg EGY,DF,West Brom,30-064,1991,1.0,37,52,71.2,829,381,11,13,84.6,18,25,72.0,8,13,61.5,0,0.0,0.0,0,1,0,0,2,Matches
189,Dean Henderson\Dean-Henderson,eng ENG,GK,Manchester Utd,24-018,1997,5.5,94,132,71.2,2031,980,32,32,100.0,42,42,100.0,20,57,35.1,0,0.0,0.0,0,0,0,0,0,Matches
190,Jordan Henderson\Jordan-Henderson,eng ENG,MFDF,Liverpool,30-286,1990,18.9,1573,1813,86.8,32849,8658,515,559,92.1,782,828,94.4,260,391,66.5,1,1.4,-0.4,12,206,30,1,146,Matches
191,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Newcastle Utd,29-058,1992,15.6,428,531,80.6,7529,1767,193,229,84.3,174,194,89.7,49,73,67.1,1,0.7,+0.3,4,27,5,1,35,Matches
192,Pablo Hernández\Pablo-Hernandez,es ESP,MF,Leeds United,35-353,1985,3.8,234,314,74.5,4568,1511,96,118,81.4,98,121,81.0,37,56,66.1,2,0.6,+1.4,5,37,11,1,50,Matches
193,Son Heung-min\Son-Heung-min,kr KOR,FW,Tottenham,28-265,1992,26.1,647,853,75.8,10398,2437,355,416,85.3,195,247,78.9,67,137,48.9,9,7.5,+1.5,55,24,20,2,48,Matches
194,Ki-Jana Hoever\Ki-Jana-Hoever,nl NED,DF,Wolves,19-071,2002,4.4,172,230,74.8,2864,1013,90,101,89.1,66,95,69.5,13,23,56.5,0,0.1,-0.1,2,8,3,1,10,Matches
195,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,25-191,1995,20.4,1122,1262,88.9,25434,6936,282,296,95.3,606,650,93.2,230,306,75.2,1,0.2,+0.8,4,79,6,0,75,Matches
196,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,24-159,1996,17.6,671,869,77.2,15090,5268,174,204,85.3,363,428,84.8,130,218,59.6,0,0.2,-0.2,6,39,9,4,51,Matches
197,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,30-056,1991,2.5,116,155,74.8,2503,557,31,35,88.6,52,64,81.3,27,46,58.7,1,0.8,+0.2,4,18,2,1,9,Matches
198,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FWDF,Chelsea,20-143,2000,10.0,429,525,81.7,7353,1718,235,266,88.3,138,164,84.1,51,78,65.4,2,2.3,-0.3,24,20,28,9,43,Matches
199,Niall Huggins\Niall-Huggins,wal WAL,DF,Leeds United,20-102,2000,0.4,17,23,73.9,240,57,11,14,78.6,6,6,100.0,0,3,0.0,0,0.0,0.0,0,1,0,0,0,Matches
200,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Tottenham,25-237,1995,29.0,1824,2060,88.5,34537,9154,733,805,91.1,818,900,90.9,245,317,77.3,3,1.3,+1.7,13,186,14,2,146,Matches
201,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,31-287,1989,0.1,1,1,100.0,7,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
202,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,24-178,1996,8.1,177,219,80.8,2643,369,108,119,90.8,52,64,81.3,13,24,54.2,0,1.7,-1.7,11,14,8,0,14,Matches
203,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,28-250,1992,18.7,256,396,64.6,3820,1050,150,197,76.1,75,116,64.7,21,46,45.7,3,2.1,+0.9,17,18,15,5,35,Matches
204,Branislav Ivanović\Branislav-Ivanovic,rs SRB,DF,West Brom,37-036,1984,8.4,265,309,85.8,5966,1426,66,73,90.4,147,162,90.7,52,71,73.2,0,0.1,-0.1,1,11,3,0,10,Matches
205,Alex Iwobi\Alex-Iwobi,ng NGA,FWDF,Everton,24-331,1996,14.7,466,609,76.5,8585,2562,187,218,85.8,209,260,80.4,57,96,59.4,2,1.8,+0.2,15,28,25,8,64,Matches
206,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,38-225,1982,4.8,111,148,75.0,2861,621,30,35,85.7,42,53,79.2,37,56,66.1,0,0.0,0.0,0,4,0,0,5,Matches
207,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,27-231,1993,2.9,85,116,73.3,1337,305,41,48,85.4,29,39,74.4,9,15,60.0,1,1.8,-0.8,7,3,8,3,8,Matches
208,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,23-140,1997,8.1,200,257,77.8,2736,626,127,151,84.1,58,75,77.3,5,8,62.5,0,0.3,-0.3,5,5,9,2,21,Matches
209,Reece James\Reece-James,eng ENG,DF,Chelsea,21-112,1999,19.1,1221,1456,83.9,23149,5661,504,552,91.3,556,622,89.4,149,241,61.8,2,2.3,-0.3,27,61,37,21,90,Matches
210,Alexandre Jankewitz\Alexandre-Jankewitz,ch SUI,MF,Southampton,19-095,2001,0.0,2,3,66.7,31,25,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,1,0,1,Matches
211,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,23-361,1997,16.5,421,502,83.9,5646,650,266,300,88.7,103,121,85.1,21,32,65.6,3,2.5,+0.5,19,17,9,0,21,Matches
212,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,29-329,1991,9.1,207,263,78.7,3241,561,126,150,84.0,52,64,81.3,22,32,68.8,0,0.8,-0.8,8,16,9,0,19,Matches
213,Joelinton\Joelinton,br BRA,FWMF,Newcastle Utd,24-228,1996,17.1,358,487,73.5,5031,996,226,272,83.1,106,148,71.6,16,29,55.2,2,1.4,+0.6,13,15,8,2,20,Matches
214,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,21-065,2000,4.4,94,139,67.6,1515,676,56,63,88.9,24,39,61.5,10,24,41.7,0,0.0,0.0,1,8,0,0,8,Matches
215,Sam Johnstone\Sam-Johnstone,eng ENG,GK,West Brom,28-005,1993,28.0,499,954,52.3,20357,13722,42,42,100.0,153,160,95.6,304,750,40.5,0,0.0,0.0,0,21,0,0,0,Matches
216,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,20-059,2001,12.1,821,899,91.3,13905,2955,396,424,93.4,329,346,95.1,80,99,80.8,1,1.1,-0.1,12,95,22,2,65,Matches
217,Jorginho\Jorginho,it ITA,MF,Chelsea,29-100,1991,16.0,1088,1224,88.9,19705,4617,488,528,92.4,467,512,91.2,116,158,73.4,1,1.4,-0.4,16,102,12,0,72,Matches
218,Willian José\Willian-Jose,br BRA,FW,Wolves,29-127,1991,7.3,149,180,82.8,2555,287,78,90,86.7,48,55,87.3,18,21,85.7,0,0.3,-0.3,6,7,1,0,8,Matches
219,Diogo Jota\Diogo-Jota,pt POR,FW,Liverpool,24-116,1996,7.8,220,282,78.0,3579,836,122,143,85.3,77,97,79.4,18,27,66.7,0,1.3,-1.3,8,24,5,0,29,Matches
220,James Justin\James-Justin,eng ENG,DF,Leicester City,23-035,1998,23.0,989,1248,79.2,16540,5520,496,557,89.0,413,497,83.1,68,140,48.6,1,1.6,-0.6,18,56,33,7,92,Matches
221,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Liverpool,21-005,2000,5.0,278,304,91.4,5975,1499,87,94,92.6,140,144,97.2,50,65,76.9,0,0.0,0.0,0,9,0,0,10,Matches
222,Aboubakar Kamara\Aboubakar-Kamara,mr MTN,FWDF,Fulham,26-023,1995,3.5,92,128,71.9,1504,409,46,57,80.7,35,41,85.4,7,21,33.3,0,0.4,-0.4,6,4,4,1,11,Matches
223,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,27-245,1993,26.3,495,695,71.2,9681,3201,217,278,78.1,182,239,76.2,82,130,63.1,13,6.3,+6.7,36,84,35,6,109,Matches
224,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,30-001,1991,21.1,1175,1354,86.8,21856,4827,473,529,89.4,554,609,91.0,127,171,74.3,2,1.0,+1.0,20,95,12,1,92,Matches
225,Moise Kean\Moise-Kean,it ITA,FW,Everton,21-030,2000,0.2,7,9,77.8,124,0,2,3,66.7,4,4,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
226,Michael Keane\Michael-Keane,eng ENG,DF,Everton,28-078,1993,25.2,1312,1476,88.9,29606,9278,291,318,91.5,756,794,95.2,244,334,73.1,1,0.9,+0.1,6,88,5,0,68,Matches
227,Neeskens Kebano\Neeskens-Kebano,cd COD,FWMF,Fulham,29-020,1992,1.3,33,42,78.6,409,99,25,25,100.0,6,11,54.5,1,3,33.3,0,0.0,0.0,0,1,0,0,2,Matches
228,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,26-048,1995,5.8,311,356,87.4,5328,1190,143,166,86.1,133,141,94.3,27,35,77.1,0,0.8,-0.8,6,31,10,1,32,Matches
229,Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,22-127,1998,2.0,51,62,82.3,1459,732,6,6,100.0,26,26,100.0,19,30,63.3,0,0.0,0.0,0,0,0,0,0,Matches
230,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Everton,24-015,1997,0.9,47,61,77.0,783,221,28,29,96.6,13,20,65.0,6,8,75.0,0,0.0,0.0,0,3,1,0,4,Matches
231,Reda Khadra\Reda-Khadra,de GER,FW,Brighton,19-269,2001,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
232,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,23-311,1997,12.5,542,618,87.7,10131,3638,210,222,94.6,279,302,92.4,49,86,57.0,1,0.5,+0.5,4,49,1,0,34,Matches
233,Joshua King\Joshua-King,no NOR,MFFW,Everton,29-074,1992,1.4,28,38,73.7,442,51,14,20,70.0,12,14,85.7,2,3,66.7,0,0.0,0.0,0,0,1,0,3,Matches
234,Mateusz Klich\Mateusz-Klich,pl POL,MF,Leeds United,30-290,1990,23.3,1074,1350,79.6,18635,4892,519,595,87.2,396,472,83.9,124,203,61.1,5,3.6,+1.4,42,99,39,6,133,Matches
235,Robin Koch\Robin-Koch,de GER,DF,Leeds United,24-256,1996,10.1,579,674,85.9,12391,3758,122,142,85.9,367,387,94.8,83,133,62.4,0,0.2,-0.2,4,32,2,0,38,Matches
236,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,27-283,1993,1.0,54,64,84.4,801,177,30,35,85.7,22,24,91.7,1,3,33.3,0,0.0,0.0,0,3,1,0,4,Matches
237,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,23-158,1997,25.5,773,893,86.6,17562,3981,179,203,88.2,442,475,93.1,145,202,71.8,0,0.0,0.0,0,30,1,0,24,Matches
238,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,DF,Crystal Palace,31-099,1989,25.7,760,961,79.1,15546,4690,270,317,85.2,341,389,87.7,138,231,59.7,0,0.1,-0.1,3,26,2,1,25,Matches
239,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,26-328,1994,16.9,1312,1433,91.6,25486,5944,522,556,93.9,588,624,94.2,186,227,81.9,1,1.4,-0.4,18,139,18,0,131,Matches
240,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,26-240,1994,9.6,265,389,68.1,4264,2050,139,173,80.3,95,139,68.3,23,57,40.4,0,0.1,-0.1,4,13,1,1,15,Matches
241,Filip Krovinović\Filip-Krovinovic,hr CRO,MF,West Brom,25-213,1995,6.1,308,365,84.4,5338,1511,140,156,89.7,127,147,86.4,31,44,70.5,0,0.3,-0.3,5,37,7,0,40,Matches
242,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,29-306,1991,18.0,336,434,77.4,4962,965,188,237,79.3,108,127,85.0,23,38,60.5,2,2.3,-0.3,16,19,17,0,37,Matches
243,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Brighton,32-324,1988,13.2,548,660,83.0,8556,2019,286,322,88.8,199,235,84.7,41,61,67.2,1,2.6,-1.6,23,42,22,3,54,Matches
244,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,29-026,1992,6.7,235,301,78.1,3988,789,121,141,85.8,81,96,84.4,29,46,63.0,0,0.9,-0.9,6,16,7,0,21,Matches
245,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,20-181,2000,9.8,390,500,78.0,6346,1711,209,234,89.3,141,188,75.0,32,56,57.1,1,1.1,-0.1,11,12,12,7,27,Matches
246,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,28-043,1993,4.5,198,231,85.7,3220,656,107,121,88.4,76,84,90.5,12,20,60.0,1,0.7,+0.3,9,12,4,0,12,Matches
247,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,26-307,1994,11.4,875,958,91.3,17722,4976,285,303,94.1,464,487,95.3,123,157,78.3,0,0.2,-0.2,2,71,1,0,45,Matches
248,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,27-139,1993,17.1,469,576,81.4,10221,3268,128,144,88.9,260,285,91.2,77,137,56.2,0,0.0,0.0,1,29,5,0,32,Matches
249,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,31-170,1989,1.4,78,82,95.1,1841,642,18,18,100.0,43,45,95.6,16,18,88.9,0,0.0,0.0,0,3,1,0,6,Matches
250,Mario Lemina\Mario-Lemina,ga GAB,MF,Fulham,27-210,1993,13.2,533,622,85.7,10630,2512,186,211,88.2,259,288,89.9,74,105,70.5,0,0.7,-0.7,7,40,11,1,39,Matches
251,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,29-026,1992,27.8,764,943,81.0,18041,9022,219,219,100.0,384,387,99.2,157,332,47.3,0,0.0,0.0,0,3,0,0,2,Matches
252,Khanya Leshabela\Khanya-Leshabela,za RSA,MF,Leicester City,21-193,1999,0.1,7,9,77.8,98,38,4,5,80.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,Matches
